workload,structure,n,m,repetition,elapsed_ns,accesses,movements,comparisons,batches,checksum
random_access,LinkedList,100000,10000,2,641550400,504940938,0,0,1,10033739590
search,LinkedList,100000,1000,2,139039600,74711244,0,74711244,1,500
insert_front,LinkedList,100000,1000,2,3200,0,0,0,1,101000
remove_front,LinkedList,100000,1000,2,2300,1000,0,0,1,997325240
insert_middle,LinkedList,100000,1000,2,80526800,50000000,0,0,1,101000
remove_middle,LinkedList,100000,1000,2,63543800,50001000,0,0,1,1031379518
random_access,DynamicArray,100000,10000,2,31700,10000,0,0,1,10033739590
search,DynamicArray,100000,1000,2,21732400,74711244,0,74711244,1,500
insert_front,DynamicArray,100000,1000,2,5409300,100499500,100499500,0,1,101000
remove_front,DynamicArray,100000,1000,2,7657500,99500500,99499500,0,1,997325240
insert_middle,DynamicArray,100000,1000,2,2693600,50499500,50499500,0,1,101000
remove_middle,DynamicArray,100000,1000,2,4129300,49500500,49499500,0,1,1031379518
heap_insert,MinHeap,100000,100000,2,1381400,0,0,227662,1,100000
heap_extract,MinHeap,100000,100000,2,7520500,0,0,2831463,1,100070209340
random_access,DynamicArray,100000,10000,3,12500,10000,0,0,1,10033739590
search,DynamicArray,100000,1000,3,21255000,74711244,0,74711244,1,500
insert_front,DynamicArray,100000,1000,3,5628600,100499500,100499500,0,1,101000
remove_front,DynamicArray,100000,1000,3,8499000,99500500,99499500,0,1,997325240
insert_middle,DynamicArray,100000,1000,3,3497000,50499500,50499500,0,1,101000
remove_middle,DynamicArray,100000,1000,3,3905000,49500500,49499500,0,1,1031379518
random_access,LinkedList,100000,10000,3,677560600,504940938,0,0,1,10033739590
search,LinkedList,100000,1000,3,127674100,74711244,0,74711244,1,500
insert_front,LinkedList,100000,1000,3,4000,0,0,0,1,101000
remove_front,LinkedList,100000,1000,3,2900,1000,0,0,1,997325240
insert_middle,LinkedList,100000,1000,3,63502900,50000000,0,0,1,101000
remove_middle,LinkedList,100000,1000,3,67796200,50001000,0,0,1,1031379518
heap_insert,MinHeap,100000,100000,3,1262800,0,0,227662,1,100000
heap_extract,MinHeap,100000,100000,3,7297700,0,0,2831463,1,100070209340
random_access,LinkedList,100000,10000,4,655652800,504940938,0,0,1,10033739590
search,LinkedList,100000,1000,4,91304800,74711244,0,74711244,1,500
insert_front,LinkedList,100000,1000,4,4100,0,0,0,1,101000
remove_front,LinkedList,100000,1000,4,2200,1000,0,0,1,997325240
insert_middle,LinkedList,100000,1000,4,73115100,50000000,0,0,1,101000
remove_middle,LinkedList,100000,1000,4,70188100,50001000,0,0,1,1031379518
random_access,DynamicArray,100000,10000,4,12400,10000,0,0,1,10033739590
search,DynamicArray,100000,1000,4,22252200,74711244,0,74711244,1,500
insert_front,DynamicArray,100000,1000,4,5707000,100499500,100499500,0,1,101000
remove_front,DynamicArray,100000,1000,4,7864900,99500500,99499500,0,1,997325240
insert_middle,DynamicArray,100000,1000,4,2692400,50499500,50499500,0,1,101000
remove_middle,DynamicArray,100000,1000,4,3838900,49500500,49499500,0,1,1031379518
heap_insert,MinHeap,100000,100000,4,1274400,0,0,227662,1,100000
heap_extract,MinHeap,100000,100000,4,8421100,0,0,2831463,1,100070209340
random_access,DynamicArray,100000,10000,5,13100,10000,0,0,1,10033739590
search,DynamicArray,100000,1000,5,35235800,74711244,0,74711244,1,500
insert_front,DynamicArray,100000,1000,5,5452000,100499500,100499500,0,1,101000
remove_front,DynamicArray,100000,1000,5,7688600,99500500,99499500,0,1,997325240
insert_middle,DynamicArray,100000,1000,5,2854400,50499500,50499500,0,1,101000
remove_middle,DynamicArray,100000,1000,5,3803300,49500500,49499500,0,1,1031379518
random_access,LinkedList,100000,10000,5,689571900,504940938,0,0,1,10033739590
search,LinkedList,100000,1000,5,95412500,74711244,0,74711244,1,500
insert_front,LinkedList,100000,1000,5,5000,0,0,0,1,101000
remove_front,LinkedList,100000,1000,5,2800,1000,0,0,1,997325240
insert_middle,LinkedList,100000,1000,5,75805700,50000000,0,0,1,101000
remove_middle,LinkedList,100000,1000,5,77459700,50001000,0,0,1,1031379518
heap_insert,MinHeap,100000,100000,5,1201900,0,0,227662,1,100000
heap_extract,MinHeap,100000,100000,5,7855900,0,0,2831463,1,100070209340
